st50-republication/modifications/modified-part/modified-part-name	pat:PatentDocumentRepublication/pat:ModificationPartIdentification/pat:ModifiedPartInformation/pat:ModifiedPartCategory
st50-republication/modifications/modified-part/modified-item	pat:PatentDocumentRepublication/pat:ModificationPartIdentification/pat:ModifiedPartInformation/pat:ModifiedItemText
st50-republication/republication-notes	pat:PatentDocumentRepublication/pat:RepublicationNoteTextBag
st50-republication/republication-notes/republication-note	pat:PatentDocumentRepublication/pat:RepublicationNoteTextBag/pat:RepublicationNoteText
st50-republication/republication-notes/republication-note/@sequence	pat:PatentDocumentRepublication/pat:RepublicationNoteTextBag/pat:RepublicationNoteText/@com:sequenceNumber
st50-republication/republication-notes/republication-note/@lang	pat:PatentDocumentRepublication/pat:RepublicationNoteTextBag/pat:RepublicationNoteText/@com:languageCode
st50-republication/correction-notice/gazette-reference	pat:PatentDocumentRepublication/pat:GazetteReference
st50-republication/correction-notice/gazette-reference/@id	pat:PatentDocumentRepublication/pat:GazetteReference/@com:id
st50-republication/correction-notice/gazette-reference/@country	pat:PatentDocumentRepublication/pat:GazetteReference/com:IPOfficeCode
st50-republication/correction-notice/gazette-reference/gazette-num	pat:PatentDocumentRepublication/pat:GazetteReference/pat:GazetteNumber
st50-republication/correction-notice/gazette-reference/date	pat:PatentDocumentRepublication/pat:GazetteReference/com:PublicationDate
st50-republication/correction-notice/gazette-reference/text	pat:PatentDocumentRepublication/pat:GazetteReference/pat:GazetteReferenceText
related-documents	pat:RelatedDocumentBag
related-documents/addition	pat:RelatedDocumentBag/pat:Addition
related-documents/addition/relation/parent-doc	pat:RelatedDocumentBag/pat:Addition/pat:ParentDocument
related-documents/addition/relation/parent-doc/document-id	pat:RelatedDocumentBag/pat:Addition/pat:ParentDocument/pat:PatentDocumentIdentification/pat:PatentPublicationIdentification
related-documents/addition/relation/parent-doc/parent-status	pat:RelatedDocumentBag/pat:Addition/pat:ParentDocument/pat:ParentDocumentStatusCode
related-documents/addition/relation/parent-doc/parent-grant-document/document-id	pat:RelatedDocumentBag/pat:Addition/pat:ParentDocument/pat:PatentDocumentIdentification/pat:PatentGrantIdentification
related-documents/addition/relation/parent-doc/parent-pct-document	pat:RelatedDocumentBag/pat:Addition/pat:ParentDocument/pat:PCTDocumentParent
related-documents/addition/relation/parent-doc/parent-pct-document/document-id	pat:RelatedDocumentBag/pat:Addition/pat:ParentDocument/pat:PCTDocumentParent/pat:ApplicationIdentification
related-documents/addition/relation/child-doc	pat:RelatedDocumentBag/pat:Addition/pat:ChildDocument
related-documents/addition/relation/child-doc/document-id	pat:RelatedDocumentBag/pat:Addition/pat:ChildDocument/pat:PatentDocumentIdentification/pat:ApplicationIdentification
related-documents/division	pat:RelatedDocumentBag/pat:Division
related-documents/continuation	pat:RelatedDocumentBag/pat:Continuation
related-documents/continuation/relation/parent-doc/document-id	pat:RelatedDocumentBag/pat:Continuation/pat:ParentDocument/pat:PatentDocumentIdentification/pat:ApplicationIdentification
related-documents/continuation/relation/parent-doc/document-id/country	pat:RelatedDocumentBag/pat:Continuation/pat:ParentDocument/pat:PatentDocumentIdentification/pat:ApplicationIdentification/com:IPOfficeCode
related-documents/continuation/relation/parent-doc/document-id/doc-number	pat:RelatedDocumentBag/pat:Continuation/pat:ParentDocument/pat:PatentDocumentIdentification/pat:ApplicationIdentification/com:ApplicationNumber/com:ApplicationNumberText
related-documents/continuation/relation/child-doc	pat:RelatedDocumentBag/pat:Continuation/pat:ChildDocument
related-documents/continuation/relation/child-doc/document-id	pat:RelatedDocumentBag/pat:Continuation/pat:ChildDocument/pat:PatentDocumentIdentification
