application-body/@lang	pat:ApplicationBody/@com:languageCode
application-body/description/sequence-list-text/@id	pat:ApplicationBody/pat:Description/pat:SequenceListText/@com:id
application-body/description/sequence-list-text/heading	pat:ApplicationBody/pat:Description/pat:SequenceListText/com:Heading
application-body/description/sequence-list-text/p	pat:ApplicationBody/pat:Description/pat:SequenceListText/com:P
application-body/description/citation-list	pat:ApplicationBody/pat:Description/com:CitationBag
application-body/description/citation-list/@id	pat:ApplicationBody/pat:Description/com:CitationBag/@com:id
application-body/description/citation-list/patent-literature	pat:ApplicationBody/pat:Description/com:CitationBag/com:PatentCitationBag
application-body/description/citation-list/patent-literature/heading	pat:ApplicationBody/pat:Description/com:CitationBag/com:PatentCitationBag/com:Heading
application-body/description/citation-list/patent-literature/p	pat:ApplicationBody/pat:Description/com:CitationBag/com:PatentCitationBag/com:P
application-body/description/citation-list/non-patent-literature	pat:ApplicationBody/pat:Description/com:CitationBag/com:NPLCitationBag
application-body/description/citation-list/non-patent-literature/heading	pat:ApplicationBody/pat:Description/com:CitationBag/com:NPLCitationBag/com:Heading
application-body/description/citation-list/non-patent-literature/p	pat:ApplicationBody/pat:Description/com:CitationBag/com:NPLCitationBag/com:P
application-body/description/citation-list/heading	pat:ApplicationBody/pat:Description/com:CitationBag/com:Heading
application-body/description/citation-list/p	pat:ApplicationBody/pat:Description/com:CitationBag/com:P
application-body/description/heading	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/heading/@level	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/heading/@id	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/heading/text()	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/heading/b	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/heading/b/text()	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/heading/i	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/heading/i/text()	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/heading/u	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/heading/u/text()	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/heading/o	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/heading/o/text()	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/heading/sup	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/heading/sup/text()	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/heading/sub	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/heading/sub/text()	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/heading/smallcaps	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/heading/smallcaps/text()	pat:ApplicationBody/pat:Description/com:Heading/com:Del/text()
application-body/description/p	pat:ApplicationBody/pat:Description/com:P
application-body/claims	pat:ApplicationBody/pat:Claims/pat:Claim
application-body/claims/@id	pat:ApplicationBody/pat:Claims/@com:id
application-body/abstract	pat:ApplicationBody/pat:Abstract
